Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,190.990005,191.220001,183.309998,184.809998,184.809998,41239900
3-Nov-17,186.509995,186.929993,182.059998,183.210007,183.210007,19697300
6-Nov-17,184.070007,188.25,184,187.839996,187.839996,19873100
7-Nov-17,189.580002,189.860001,187,188.509995,188.509995,17781000
8-Nov-17,187.979996,188.149994,185.100006,185.899994,185.899994,13944600
9-Nov-17,184.210007,185.130005,181.050003,185.130005,185.130005,19755600
10-Nov-17,187.029999,187.169998,185.399994,186.410004,186.410004,15031000
13-Nov-17,186.770004,187.880005,184,184.539993,184.539993,17139100
14-Nov-17,184.300003,184.380005,181.149994,181.789993,181.789993,14475300
15-Nov-17,179.369995,181.880005,176.735992,181.479996,181.479996,16567000
16-Nov-17,183.309998,186.270004,183.119995,185.429993,185.429993,18389500
17-Nov-17,185.919998,186.5,184.669998,185.130005,185.130005,13422700
20-Nov-17,187.600006,190,186.610992,188,188,25992300
21-Nov-17,190.350006,191.559998,188.800003,190.899994,190.899994,19639500
22-Nov-17,191.539993,191.75,189.369995,189.839996,189.839996,14417600
24-Nov-17,189.389999,191.699997,188.699997,191.190002,191.190002,9887300
27-Nov-17,190.490005,191.449997,187.550003,188.029999,188.029999,14952800
28-Nov-17,188.830002,189.100006,186.5,186.690002,186.690002,13378100
29-Nov-17,185.25,185.410004,173.619995,179.910004,179.910004,40204100
30-Nov-17,179.529999,179.800003,176.320007,177.080002,177.080002,25851100
1-Dec-17,175.270004,179.800003,173.800003,174.610001,174.610001,26524100
