Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,11.9,13.025,11.6,12.65,12.65,1272600
3-Nov-17,12.5,13.15,12.4,12.7,12.7,495500
6-Nov-17,12.6,13.025,12.5,12.85,12.85,475900
7-Nov-17,12.75,13,12.35,12.4,12.4,442200
8-Nov-17,12.3,12.4,11.9,12.05,12.05,410600
9-Nov-17,12.05,12.3,11.875,12.1,12.1,504800
10-Nov-17,12.15,12.3,12,12.15,12.15,260700
13-Nov-17,12.2,12.3,12.05,12.2,12.2,401300
14-Nov-17,12.3,12.7,12.3,12.7,12.7,461000
15-Nov-17,12.6,12.6,12.35,12.5,12.5,312900
16-Nov-17,12.5,12.85,12.45,12.75,12.75,612800
17-Nov-17,12.75,13,12.75,13,13,414000
20-Nov-17,12.95,13.075,12.65,12.95,12.95,470900
21-Nov-17,12.95,12.95,12.525,12.725,12.725,257300
22-Nov-17,12.7,12.95,12.6,12.7,12.7,190000
24-Nov-17,12.65,12.65,12.25,12.3,12.3,110700
27-Nov-17,12.35,12.45,12.125,12.15,12.15,262000
28-Nov-17,12.25,12.85,12.25,12.75,12.75,203400
29-Nov-17,12.75,13.5,12.55,13.45,13.45,411000
30-Nov-17,13.5,13.6,13.25,13.45,13.45,494500
1-Dec-17,13.45,13.525,13,13.475,13.475,534900
