Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,21.75,22.200001,20.85,21.15,21.15,300600
3-Nov-17,21.15,23.15,20.85,22.4,22.4,582800
6-Nov-17,22.299999,22.9,22.200001,22.65,22.65,166600
7-Nov-17,22.6,22.799999,21.1,21.75,21.75,265600
8-Nov-17,21.65,22.4,21.65,22.049999,22.049999,200100
9-Nov-17,21.799999,22.4,21.799999,21.85,21.85,196500
10-Nov-17,21.799999,22.799999,21.799999,22.75,22.75,207500
13-Nov-17,22.549999,23.200001,22.450001,23.1,23.1,130900
14-Nov-17,23.15,24.25,23.049999,23.700001,23.700001,221100
15-Nov-17,23.5,23.6,22.559999,23.5,23.5,120000
16-Nov-17,23.65,23.9,23.5,23.549999,23.549999,92700
17-Nov-17,23.450001,23.85,23.450001,23.65,23.65,69600
20-Nov-17,23.700001,23.799999,23,23.75,23.75,152900
21-Nov-17,24,24.200001,23.65,24.1,24.1,131700
22-Nov-17,24.049999,24.049999,23.4,23.450001,23.450001,132800
24-Nov-17,23.450001,23.450001,22.799999,23.049999,23.049999,73700
27-Nov-17,23.1,23.15,22.65,23,23,86200
28-Nov-17,23.1,24.23,22.799999,24.15,24.15,161000
29-Nov-17,24.25,25.4,24.15,25.1,25.1,165500
30-Nov-17,25.35,25.49,24.049999,24.9,24.9,199600
1-Dec-17,24.9,24.9,23.9,24.48,24.48,106300
