Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,13.45,14.25,13.4,14.1,14.1,267900
3-Nov-17,14.05,14.25,13.8,13.85,13.85,332900
6-Nov-17,13.9,14.1,13.65,13.95,13.95,243200
7-Nov-17,13.85,14,13.35,13.5,13.5,225000
8-Nov-17,13.5,13.65,13.28,13.45,13.45,136400
9-Nov-17,13.35,13.45,13.15,13.3,13.3,149600
10-Nov-17,13.35,13.55,13.15,13.15,13.15,106200
13-Nov-17,13.15,13.7,13.15,13.4,13.4,98700
14-Nov-17,13.45,13.75,13.45,13.65,13.65,164500
15-Nov-17,13.6,13.6,13.25,13.4,13.4,197100
16-Nov-17,13.4,13.65,13.4,13.5,13.5,138900
17-Nov-17,13.4,13.88,13.35,13.75,13.75,95900
20-Nov-17,13.75,13.9,13.65,13.8,13.8,122400
21-Nov-17,13.85,13.88,13.73,13.8,13.8,148800
22-Nov-17,13.85,13.98,13.65,13.7,13.7,137900
24-Nov-17,13.8,13.95,13.7,13.75,13.75,20100
27-Nov-17,13.75,13.8,13.65,13.7,13.7,79700
28-Nov-17,13.75,14.3,13.75,14.15,14.15,128000
29-Nov-17,14.2,15,14.2,14.95,14.95,151900
30-Nov-17,14.95,15.05,14.5,14.55,14.55,305300
1-Dec-17,14.5,14.8,14.15,14.75,14.75,177800
