Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,12.33,12.43,12.26,12.42,12.42,40923400
3-Nov-17,12.41,12.46,12.32,12.36,12.36,33220300
6-Nov-17,12.36,12.43,12.3,12.33,12.33,20178500
7-Nov-17,12.35,12.38,12.11,12.16,12.16,41536300
8-Nov-17,12.14,12.16,12.01,12.06,12.06,34127500
9-Nov-17,12.01,12.05,11.93,12.04,12.04,26257300
10-Nov-17,12,12.09,11.98,12.01,12.01,35298400
13-Nov-17,12.01,12.22,11.97,12.16,12.16,30415900
14-Nov-17,12.1,12.16,11.99,12.02,12.02,25893400
15-Nov-17,11.97,12.03,11.87,12,12,28441300
16-Nov-17,12,12.05,11.93,12.04,12.04,28269000
17-Nov-17,12.02,12.06,11.99,12.01,12.01,31117700
20-Nov-17,12.03,12.15,12.02,12.13,12.13,32352000
21-Nov-17,12.14,12.23,12.12,12.12,12.12,28510300
22-Nov-17,12.11,12.15,12.05,12.07,12.07,36184000
24-Nov-17,12.1,12.15,12.03,12.1,12.1,9549600
27-Nov-17,12.09,12.19,12.06,12.11,12.11,28525200
28-Nov-17,12.15,12.24,12.08,12.21,12.21,33199300
29-Nov-17,12.24,12.57,12.23,12.56,12.56,64866000
30-Nov-17,12.53,12.65,12.42,12.52,12.52,49224200
1-Dec-17,12.62,12.7,12.35,12.58,12.58,52431700
