Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,21.379999,21.559999,21.07,21.440001,21.440001,14764900
3-Nov-17,21.5,21.549999,21.33,21.469999,21.469999,7709600
6-Nov-17,21.469999,21.530001,21.379999,21.440001,21.440001,13309000
7-Nov-17,21.469999,21.469999,21.32,21.379999,21.379999,6245500
8-Nov-17,21.34,21.469999,21.24,21.42,21.42,6061800
9-Nov-17,21.27,21.4,21.15,21.34,21.34,5844700
10-Nov-17,21.25,21.309999,21.139999,21.23,21.23,6276700
13-Nov-17,21.23,21.33,21.15,21.17,21.17,4921900
14-Nov-17,21.1,21.450001,20.99,21.360001,21.360001,11628100
15-Nov-17,21.309999,21.530001,21.24,21.360001,21.360001,12655200
16-Nov-17,21.43,21.75,21.41,21.57,21.57,9562200
17-Nov-17,21.51,21.870001,21.450001,21.75,21.75,10639900
20-Nov-17,21.809999,22.280001,21.77,22.120001,22.120001,11871800
21-Nov-17,22.34,22.68,22.299999,22.459999,22.459999,17552900
22-Nov-17,21,21.530001,20.59,21.34,21.34,28424700
24-Nov-17,21.440001,21.52,20.99,21.24,21.24,9657900
27-Nov-17,21.17,21.33,20.959999,21.25,21.25,15350100
28-Nov-17,21.27,21.68,21.15,21.66,21.66,10376700
29-Nov-17,21.74,21.969999,21.35,21.43,21.43,12113500
30-Nov-17,21.49,21.780001,21.309999,21.450001,21.450001,13922800
1-Dec-17,21.379999,21.59,20.969999,21.41,21.41,9429200
