Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,118.489998,119.169998,115.519997,117.110001,117.110001,1338600
3-Nov-17,118.25,118.360001,117.360001,117.43,117.43,497400
6-Nov-17,117.190002,117.75,116.459999,117.25,117.25,473800
7-Nov-17,116.519997,116.519997,114.150002,114.889999,114.889999,525100
8-Nov-17,113.440002,113.440002,110.480003,112.800003,112.800003,719300
9-Nov-17,110.82,110.82,108.791,109.440002,109.440002,945400
10-Nov-17,109.779999,109.989998,109.07,109.559998,109.559998,525200
13-Nov-17,110.199997,111.040001,110.139999,110.440002,110.440002,1038700
14-Nov-17,110.18,110.235001,109.199997,109.910004,109.910004,343300
15-Nov-17,108.32,109.120003,107.580002,108.510002,108.510002,400600
16-Nov-17,109.650002,110.330002,109.419998,110.019997,110.019997,261100
17-Nov-17,109.639999,109.879997,108.870003,109.169998,109.169998,342500
20-Nov-17,109.915001,110.889999,109.839996,110.18,110.18,274500
21-Nov-17,111.709999,112.330002,111.370003,111.489998,111.489998,348100
22-Nov-17,111.980003,112.308998,111.285004,111.82,111.82,217700
24-Nov-17,113.169998,114.019997,113.099998,113.709999,113.709999,164100
27-Nov-17,112.75,112.959999,111.779999,111.800003,111.800003,346900
28-Nov-17,112.580002,112.724998,111.510002,111.699997,111.699997,492300
29-Nov-17,111.809998,111.919998,107.416,108.400002,108.400002,989200
30-Nov-17,108.709999,109.087997,107.610001,108.599998,108.599998,490200
1-Dec-17,107.599998,108.209999,106,107.470001,107.470001,489700
