Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,35.869999,36.360001,34.75,36.07,36.07,8884500
3-Nov-17,36.23,36.98,35.910999,36.889999,36.889999,6615600
6-Nov-17,37.310001,37.75,36.799999,37.18,37.18,8503000
7-Nov-17,37.689999,37.689999,36.290001,36.759998,36.759998,10536700
8-Nov-17,36.939999,37.159,36,36.709999,36.709999,13485400
9-Nov-17,36.450001,38.009998,34.830002,37.959999,37.959999,23511400
10-Nov-17,37.650002,39.730999,37.389999,39.209999,39.209999,19473500
13-Nov-17,39.130001,40.189999,38.310001,39.98,39.98,14382400
14-Nov-17,39.98,40.5,39.509998,39.740002,39.740002,11567500
15-Nov-17,41.150002,41.799999,40.169998,40.66,40.66,20676000
16-Nov-17,40.950001,41.970001,40.52,41.900002,41.900002,19901900
17-Nov-17,42.490002,45.740002,42.439999,44.18,44.18,39206500
20-Nov-17,44.990002,46.060001,44.580002,45.209999,45.209999,28654900
21-Nov-17,46,48.240002,45.702999,48.060001,48.060001,28904500
22-Nov-17,46.861,49.549999,46.099998,48.810001,48.810001,44557600
24-Nov-17,49.400002,49.560001,48.110001,48.860001,48.860001,16562700
27-Nov-17,47.209999,47.400002,40.369999,41.02,41.02,76437500
28-Nov-17,39.889999,44.049999,39.5,42.549999,42.549999,56515900
29-Nov-17,43.200001,43.389999,37.18,39.130001,39.130001,52069600
30-Nov-17,39.27,40.779999,38.82,39.220001,39.220001,39352700
1-Dec-17,39.34,39.549999,36.720001,38.220001,38.220001,25350200
