Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,96.000000,96.239998,95.389999,95.980003,95.980003,3013300
2017-11-03,96.279999,96.430000,95.779999,96.430000,96.430000,2089500
2017-11-06,96.349998,96.730003,95.930000,96.290001,96.290001,1848300
2017-11-07,96.419998,96.900002,95.180000,95.370003,95.370003,3200900
2017-11-08,95.099998,95.279999,94.449997,95.129997,95.129997,2163700
2017-11-09,94.339996,94.660004,93.279999,93.750000,93.750000,3949800
2017-11-10,93.790001,94.150002,93.389999,93.519997,93.519997,2714400
2017-11-13,93.000000,93.980003,92.779999,93.900002,93.900002,2708500
2017-11-14,93.570000,93.790001,92.940002,93.760002,93.760002,2843700
2017-11-15,93.269997,93.790001,92.800003,93.260002,93.260002,3236600
2017-11-16,93.550003,94.040001,93.300003,93.559998,93.559998,2586500
2017-11-17,93.309998,93.760002,92.919998,93.690002,93.690002,3261200
2017-11-20,93.919998,94.339996,93.680000,93.949997,93.949997,3456600
2017-11-21,94.419998,94.650002,94.120003,94.410004,94.410004,2917000
2017-11-22,94.389999,94.709999,93.480003,93.820000,93.820000,2159100
2017-11-24,93.970001,94.120003,93.470001,93.480003,93.480003,837300
2017-11-27,93.570000,94.000000,93.360001,93.470001,93.470001,2731300
2017-11-28,93.760002,95.279999,93.580002,95.279999,95.279999,3536400
2017-11-29,95.959999,97.320000,95.599998,96.599998,96.599998,4325500
2017-11-30,97.019997,98.489998,96.809998,97.709999,97.709999,5328300
2017-12-01,98.080002,98.220001,95.849998,97.860001,97.860001,3442400
