Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,17.690001,17.910000,17.670000,17.860001,17.860001,4008900
2017-11-03,18.299999,18.330000,18.100000,18.150000,18.150000,3989600
2017-11-06,18.100000,18.170000,18.020000,18.129999,18.129999,1336700
2017-11-07,18.059999,18.150000,17.799999,17.870001,17.870001,1800900
2017-11-08,17.500000,17.570000,17.299999,17.490000,17.490000,2704800
2017-11-09,17.150000,17.200001,16.950001,17.110001,17.110001,3365400
2017-11-10,17.090000,17.340000,17.090000,17.270000,17.270000,2770300
2017-11-13,17.080000,17.309999,17.049999,17.309999,17.309999,2488000
2017-11-14,17.510000,17.540001,17.350000,17.500000,17.500000,3207600
2017-11-15,17.270000,17.340000,17.110001,17.260000,17.260000,2239100
2017-11-16,17.559999,17.620001,17.459999,17.559999,17.559999,1816000
2017-11-17,17.490000,17.510000,17.360001,17.360001,17.360001,1222000
2017-11-20,17.440001,17.639999,17.440001,17.530001,17.530001,2877300
2017-11-21,17.799999,17.969999,17.790001,17.910000,17.910000,1433100
2017-11-22,17.770000,17.840000,17.559999,17.600000,17.600000,1316000
2017-11-24,17.639999,17.680000,17.530001,17.600000,17.600000,586300
2017-11-27,17.490000,17.500000,17.320000,17.379999,17.379999,1777900
2017-11-28,17.299999,17.330000,17.129999,17.309999,17.309999,2500600
2017-11-29,17.340000,17.340000,16.980000,17.049999,17.049999,4879000
2017-11-30,17.219999,17.320000,17.040001,17.100000,17.100000,3616600
2017-12-01,17.100000,17.139999,16.790001,17.090000,17.090000,4371900
