Date,Open,High,Low,Close,Adj Close,Volume
2017-11-03,148.410004,149.360001,147.710007,149.289993,149.289993,2338700
2017-11-06,149.210007,150.460007,148.960007,150.089996,150.089996,3142900
2017-11-07,150.309998,150.479996,148.919998,149.970001,149.970001,2683400
2017-11-08,149.470001,150.240005,148.199997,149.970001,149.970001,3786800
2017-11-09,149.270004,149.869995,147.589996,149.289993,149.289993,2716400
2017-11-10,149.000000,149.759995,148.710007,149.539993,149.539993,1795900
2017-11-13,148.759995,150.199997,148.740005,149.690002,149.690002,1750500
2017-11-14,149.279999,150.490005,149.050003,149.949997,149.949997,3062300
2017-11-15,149.369995,149.509995,148.100006,148.330002,148.330002,3058100
2017-11-16,149.000000,150.539993,148.600006,150.330002,150.330002,2715400
2017-11-17,149.330002,149.520004,148.279999,149.020004,149.020004,3186400
2017-11-20,149.360001,150.289993,149.229996,149.559998,149.559998,2048700
2017-11-21,149.970001,152.630005,149.929993,152.509995,152.509995,3999000
2017-11-22,152.410004,152.550003,150.949997,151.250000,151.250000,2658600
2017-11-24,151.399994,153.000000,151.199997,152.740005,152.740005,1577500
2017-11-27,153.070007,153.940002,152.720001,152.970001,152.970001,3260200
2017-11-28,153.509995,154.649994,153.360001,154.190002,154.190002,3874500
2017-11-29,154.350006,154.470001,145.279999,148.350006,148.350006,7217000
2017-11-30,149.320007,151.169998,148.210007,150.470001,150.470001,6943700
2017-12-01,150.399994,150.990005,147.350006,149.690002,149.690002,3929100
