Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,206.000000,207.809998,203.649994,205.940002,205.797028,8557700
2017-11-03,207.199997,208.690002,205.339996,208.690002,208.545120,8841000
2017-11-06,207.199997,209.979996,206.699997,209.630005,209.484467,9748600
2017-11-07,210.550003,212.899994,210.059998,212.029999,211.882797,10692500
2017-11-08,211.850006,212.000000,207.240005,209.160004,209.014786,13074700
2017-11-09,205.270004,206.330002,200.369995,205.320007,205.177460,24464100
2017-11-10,213.080002,218.669998,211.630005,216.139999,215.989944,31331400
2017-11-13,216.139999,217.169998,212.009995,212.630005,212.482376,14559400
2017-11-14,213.000000,214.800003,211.229996,214.179993,214.031296,13232300
2017-11-15,211.949997,212.000000,207.800003,209.979996,209.834213,12548700
2017-11-16,212.979996,214.199997,211.250000,211.610001,211.463089,11044200
2017-11-17,213.919998,215.350006,210.750000,211.360001,211.213257,12891600
2017-11-20,211.990005,214.570007,210.500000,214.080002,213.931366,9902500
2017-11-21,215.690002,216.520004,214.399994,216.050003,215.900009,9979400
2017-11-22,217.000000,217.000000,213.610001,214.929993,214.929993,8916000
2017-11-24,215.589996,217.000000,214.600006,216.960007,216.960007,4518800
2017-11-27,217.309998,217.360001,214.009995,214.139999,214.139999,10572400
2017-11-28,214.350006,214.729996,208.240005,210.710007,210.710007,12818800
2017-11-29,210.009995,210.119995,191.229996,196.419998,196.419998,34919700
2017-11-30,199.199997,202.679993,196.649994,200.710007,200.710007,20594200
2017-12-01,199.309998,200.130005,192.470001,197.679993,197.679993,16401200
