Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,12.56,12.65,12.5,12.51,12.51,400400
3-Nov-17,12.51,12.82,12.49,12.65,12.65,432600
6-Nov-17,12.59,12.68,12.38,12.48,12.48,336300
7-Nov-17,12.42,12.46,12.23,12.25,12.25,256100
8-Nov-17,12.19,12.21,12.05,12.12,12.12,483000
9-Nov-17,12.11,12.17,12.01,12.02,12.02,606900
10-Nov-17,11.99,12.17,11.91,12.14,12.14,477600
13-Nov-17,12.16,12.2,12.01,12.04,12.04,250000
14-Nov-17,12.05,12.16,11.81,11.82,11.82,427100
15-Nov-17,11.76,11.81,11.6,11.78,11.78,1740000
16-Nov-17,11.85,12.13,11.8,12.04,12.04,524100
17-Nov-17,12,12.31,12,12.12,12.12,268900
20-Nov-17,12.15,12.21,12.07,12.15,12.15,337500
21-Nov-17,12.22,12.27,12.04,12.18,12.18,264900
22-Nov-17,12.15,12.3,12.05,12.22,12.22,288100
24-Nov-17,12.22,12.25,12.06,12.08,12.08,84100
27-Nov-17,12.09,12.16,11.93,12.1,12.1,192000
28-Nov-17,12.11,12.34,12.05,12.29,12.29,228500
29-Nov-17,12.34,12.48,12.21,12.39,12.39,484500
30-Nov-17,12.39,12.48,12.18,12.28,12.28,267700
1-Dec-17,12.24,12.24,11.98,12.16,12.16,301100
