Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,11,11.1,10.95,11.05,11.05,249700
3-Nov-17,11.05,11.1,10.85,10.95,10.95,228400
6-Nov-17,10.95,11,10.8,10.9,10.9,139000
7-Nov-17,10.85,10.9,10.2,10.3,10.3,455100
8-Nov-17,10.9,11.2,9.9,10,10,570100
9-Nov-17,10.1,11,9.93,10.9,10.9,498200
10-Nov-17,10.9,11.05,10.8,10.9,10.9,406300
13-Nov-17,10.9,11.5,10.7,11.25,11.25,546500
14-Nov-17,11.2,11.81,11.2,11.8,11.8,362700
15-Nov-17,11.7,12,11.65,12,12,269700
16-Nov-17,11.95,12.45,11.85,12.4,12.4,414800
17-Nov-17,12.3,12.68,12.3,12.35,12.35,398800
20-Nov-17,12.45,12.48,12.25,12.35,12.35,320000
21-Nov-17,12.4,12.5,12.2,12.35,12.35,205500
22-Nov-17,12.4,12.6,12.2,12.3,12.3,347300
24-Nov-17,12.35,12.5,12.2,12.4,12.4,68400
27-Nov-17,12.4,12.5,12.2,12.35,12.35,187800
28-Nov-17,12.4,12.85,12.35,12.8,12.8,168200
29-Nov-17,12.8,13.4,12.31,13.3,13.3,258800
30-Nov-17,13.3,13.45,13,13.25,13.25,311400
1-Dec-17,13.2,13.2,12.63,12.95,12.95,203500
