Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,20.5,20.629999,19.639999,19.709999,19.709999,24475100
3-Nov-17,19.870001,20.24,19.52,19.9,19.9,22259600
6-Nov-17,19.780001,19.85,19.26,19.389999,19.389999,25599300
7-Nov-17,19.549999,20.18,19.51,19.66,19.66,22238300
8-Nov-17,19.700001,19.98,19.370001,19.59,19.59,16291300
9-Nov-17,19.4,20.24,19.360001,19.9,19.9,20271000
10-Nov-17,19.790001,20.58,19.74,20.32,20.32,16293300
13-Nov-17,20.16,20.309999,19.93,20.17,20.17,11804900
14-Nov-17,20.17,20.450001,19.879999,20.049999,20.049999,11920100
15-Nov-17,19.82,20.33,19.73,19.91,19.91,11191100
16-Nov-17,20.059999,20.49,19.99,20.360001,20.360001,12967800
17-Nov-17,20.26,20.790001,20.25,20.76,20.76,12847000
20-Nov-17,20.780001,21.26,20.700001,21.129999,21.129999,16819900
21-Nov-17,21.200001,21.91,21.15,21.879999,21.879999,18339800
22-Nov-17,21.9,22.4,21.799999,22.27,22.27,21161800
24-Nov-17,22.4,22.48,22.17,22.42,22.42,7584000
27-Nov-17,22.360001,22.4,21.700001,21.82,21.82,19671400
28-Nov-17,21.85,22.15,21.559999,21.83,21.83,13845600
29-Nov-17,21.82,22.110001,20.52,20.790001,20.790001,23684000
30-Nov-17,21.01,21.120001,20.51,20.58,20.58,15823200
1-Dec-17,20.52,20.98,20.120001,20.709999,20.709999,15216300
